240.76079	32505	32614	32514	32547	32523	32448	32459	32366	32551	32399	32409	32444	32457	32468	32486	32488	32511	32477	32415	32504	
243.12796	32823	32723	32860	32814	32834	32842	32755	32805	32849	32697	32657	32636	32774	32663	32818	32705	32681	32869	32776	32657	
245.49466	32916	33001	32908	32913	32846	32767	32665	32768	32735	32686	32747	32827	32771	32809	32698	32718	32673	32691	32709	32785	
247.86086	33273	33307	33232	33084	33102	33015	32791	32923	33027	32962	32953	33021	32879	33020	32925	33049	33053	32804	32953	32929	
250.22493	33918	33967	34014	33740	33664	33531	33496	33381	33382	33389	33442	33412	33283	33333	33311	33383	33475	33417	33322	33350	
252.58685	34904	34821	34734	34377	34211	34017	33928	33771	33805	33589	33820	33701	33731	33565	33630	33734	33782	33700	33739	33751	
254.94827	36164	36117	35798	35346	35215	34641	34443	34377	34292	34382	34300	34413	34180	34283	34268	34353	34388	34385	34198	34180	
257.30923	37169	37342	36946	36165	35664	35063	34799	34622	34520	34727	34686	34722	34593	34541	34510	34493	34444	34520	34613	34475	
259.66806	38594	38695	38268	36861	36584	35649	35358	35246	35106	35239	35271	35113	35166	34995	35100	35002	35113	35060	35091	34991	
262.02469	39675	39687	39343	37738	37272	36202	35825	35619	35739	35594	35667	35712	35353	35443	35396	35407	35437	35546	35588	35462	
264.38089	40618	40499	40202	38371	38006	36611	36316	36131	36042	36131	36167	36139	35881	35810	35853	35787	35824	35919	36039	35826	
266.73657	41115	41141	40767	38756	38206	36855	36566	36393	36090	36228	36340	36182	36107	35920	36123	36203	36023	36017	36071	36091	
269.09015	41376	41263	40928	38872	38291	37080	36592	36399	36208	36191	36567	36299	36153	36207	35967	36075	36193	36124	36208	36078	
271.44324	41747	41741	41033	39196	38808	37252	36890	36670	36499	36523	36880	36690	36371	36474	36392	36515	36556	36473	36498	36443	
273.79419	41815	41665	41235	39329	38758	37371	36860	36746	36597	36575	36902	36744	36548	36585	36431	36514	36660	36533	36468	36517	
276.14297	41598	41700	41289	39253	38646	37283	37036	36708	36563	36697	36795	36667	36488	36540	36556	36461	36541	36496	36484	36469	
278.4913	41427	41477	41051	38935	38354	37156	36812	36575	36461	36523	36716	36685	36326	36335	36297	36330	36400	36330	36374	36460	
280.83914	41227	41391	40964	38860	38342	37217	36706	36575	36457	36411	36477	36679	36276	36236	36373	36360	36230	36382	36408	36340	
283.18484	41155	41169	41000	39213	38413	37206	36856	36761	36638	36644	36551	36576	36448	36528	36474	36486	36471	36455	36541	36391	
285.52844	40952	41131	40668	38873	38240	37086	36885	36691	36505	36496	36616	36529	36370	36412	36454	36358	36414	36340	36465	36374	
287.87152	40906	41114	40571	38913	38360	37297	36923	36675	36713	36575	36813	36799	36583	36507	36501	36516	36601	36751	36551	36540	
290.21414	40909	40937	40621	38945	38345	37254	36751	36656	36669	36616	36679	36702	36432	36426	36604	36388	36508	36331	36458	36399	
292.55463	40844	40797	40787	38864	38453	37300	36900	36756	36675	36678	36809	36631	36514	36540	36529	36532	36432	36491	36573	36531	
294.89465	40631	40777	40459	38698	38341	37161	36847	36528	36472	36564	36594	36546	36292	36464	36389	36421	36540	36344	36595	36362	
297.23254	40620	40827	40504	38761	38155	37219	36789	36565	36401	36489	36566	36517	36513	36351	36343	36281	36451	36356	36579	36344	
299.5683	41055	41055	40755	39113	38336	37198	37031	36742	36546	36589	36756	36680	36630	36493	36569	36455	36560	36469	36559	36516	
301.90524	41156	41327	40794	39044	38513	37507	37134	36890	36785	36719	37020	36806	36625	36631	36674	36706	36688	36937	36782	36613	
304.2384	41469	41601	41274	39416	38729	37703	37256	37009	36845	36867	37087	36948	36776	36747	36779	36861	36791	36838	36703	36671	
306.57104	41402	41563	41283	39327	38670	37759	37270	36991	36806	36757	37010	36836	36847	36790	36711	36736	36857	36793	36696	36655	
308.90326	42055	42143	41842	40119	39419	38155	37752	37406	37431	37396	37450	37491	37262	37269	37265	37105	37266	37152	37317	37170	
311.23334	42172	42149	41963	39907	39414	38168	37654	37534	37391	37440	37612	37465	37205	37152	37271	37311	37248	37265	37317	37202	
313.56293	42066	42063	41730	39831	39305	37987	37568	37251	37283	37246	37265	37354	37084	36828	37103	37078	37118	37073	37155	37011	
315.89044	41867	42173	41761	39907	39263	37978	37477	37358	37217	37313	37402	37302	37152	37038	37149	37067	37051	37156	37151	37136	
318.21579	41744	41875	41497	39686	38962	37757	37477	37068	37025	37021	37166	37125	36868	36832	36729	36940	36962	36869	36912	36803	
320.54068	41711	41793	41414	39516	39028	37811	37387	37033	36980	36926	37050	37026	36730	36902	36821	36869	36835	36779	36830	36977	
322.86511	41640	41734	41220	39485	38905	37598	37349	37213	37050	37003	37172	37141	36877	36792	36910	36949	36883	36853	36953	36764	
325.18741	41109	41447	41032	39129	38565	37567	36944	36733	36714	36760	36752	36835	36577	36506	36667	36592	36705	36669	36793	36617	
327.50925	41255	41515	41110	39283	38760	37697	37109	36985	36814	36981	37033	36920	36795	36762	36838	36868	36651	36897	36925	36811	
329.82892	41196	41437	41103	39351	38720	37705	37186	37218	36968	36900	37118	37147	36909	36712	36771	36799	36839	36971	36832	36743	
332.14816	41024	41245	40975	39159	38637	37417	37045	36871	36851	36690	36938	37002	36833	36810	36815	36753	36786	36777	36736	36610	
334.46527	40936	41436	41016	39319	38624	37589	37163	37095	36809	36946	37034	37037	36763	36736	36811	36841	36737	36814	36871	36738	
