Date,Time,Comment,Model_Name,Best_Epoch,Val_MAE,Val_Cos,Val_Shape,w_mae,w_cos,w_shape,w_signal,w_base,w_consist,w_smooth,w_curve,w_mid,w_deep,w_ortho,Learning_Rate,Batch_Size
2026-03-17,14:55:43,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm3.0_wd0.4_ortho0.4.pth,789,0.032578,0.021669,0.008793,1.0,1.0,0.2,20.0,20.0,0.0,0.2,0.2,3.0,0.4,0.4,0.0001,64
2026-03-17,17:36:44,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm3.0_wd0.4_ortho0.4.pth,623,0.036154,0.023782,0.008832,1.0,1.0,0.4,20.0,20.0,0.0,0.2,0.2,3.0,0.4,0.4,0.0001,64
2026-03-17,21:19:07,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm3.0_wd0.4_ortho0.4.pth,778,0.03226,0.01911,0.009566,1.5,1.0,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.4,0.4,0.0001,64
2026-03-18,01:55:27,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm3.5_wd0.4_ortho0.4_wmae1.5_wcos1.0_wshape0.1.pth,690,0.035035,0.024045,0.010125,1.5,1.0,0.1,20.0,20.0,0.0,0.2,0.2,3.5,0.4,0.4,0.0001,64
2026-03-18,05:27:09,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm2.5_wd0.4_ortho0.4_wmae1.5_wcos1.0_wshape0.1.pth,537,0.036375,0.024916,0.010518,1.5,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.5,0.4,0.4,0.0001,64
2026-03-18,08:40:37,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.4_wmae1.0_wcos1.0_wshape0.1.pth,839,0.030305,0.01697,0.009151,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.4,0.0001,64
2026-03-18,14:22:05,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.4_wmae1.5_wcos1.0_wshape0.1.pth,599,0.03451,0.02431,0.009957,1.5,1.0,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.4,0.0001,64
2026-03-18,19:17:30,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.4_wmae1.5_wcos1.5_wshape0.1.pth,593,0.035529,0.023997,0.010353,1.5,1.5,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.4,0.0001,64
2026-03-18,22:23:30,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.4_wmae0.8_wcos0.8_wshape0.1.pth,587,0.036413,0.025195,0.010068,0.8,0.8,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.4,0.0001,64
2026-03-19,02:25:19,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.2_wmae1.0_wcos1.0_wshape0.1.pth,850,0.032426,0.020459,0.009383,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.2,0.0001,64
2026-03-19,06:42:01,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.4_wmae1.0_wcos1.0_wshape0.02.pth,752,0.03277,0.019757,0.011195,1.0,1.0,0.02,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.4,0.0001,64
2026-03-19,09:12:09,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,LaOptma_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.5_wmae1.0_wcos1.0_wshape0.1.pth,653,0.034509,0.022685,0.009899,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.5,0.0001,64
2026-03-20,16:11:34,no baseline aux loss,LaOptma_noortho_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.4_wmae1.0_wcos1.0_wshape0.1.pth,590,0.033502,0.084881,0.009221,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.4,0.0001,64
2026-03-20,18:36:11,no baseline aux loss,Pmod_113_S20.0_B20.0_wm3.0_wd0.1_ortho0.4_wmae1.0_wcos1.0_wshape0.1.pth,580,0.037993,0.024185,0.010152,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,3.0,0.1,0.4,0.0001,64
2026-03-20,22:29:01,no baseline aux loss,Pmod_111_S20.0_B20.0_wm5.0_wd0.4_ortho0.1_wmae1.0_wcos1.0_wshape0.1.pth,632,0.03609,0.023879,0.009791,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,5.0,0.4,0.1,0.0001,64
2026-03-21,02:04:24,no baseline aux loss,Pmod_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1.pth,796,0.033556,0.021159,0.009145,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-03-21,12:15:27,no baseline aux loss,Pmod_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1.pth,967,0.026128,0.012322,0.00696,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-03-21,17:22:44,RK4 in encoder only,Pmod_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1.pth,1022,0.024918,0.011671,0.006981,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-03-22,11:20:24,"RK4 in encoder only, no smoothing in the baseline branch, previously we had one smoothing",Pmod_nosmoothBase_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1.pth,741,0.025751,0.013372,0.007014,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-12,10:30:30,ABLATION arch=rk4 (RK4SmoothedBlock) seed=0 params=5168630 epoch_s=17.15 lat_b1_ms=5.4317 [metrics=restored-checkpoint],Ablation_rk4_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,726,0.025644,0.012729,0.006968,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
